year_month,Technical_elements,items,category,ma_6,conversion_flag
2022-01-01,INキャビンフュージョンR研究（センシング×AI）,87,in_cabin_fusion,104.83333333333333,False
2022-02-01,INキャビンフュージョンR研究（センシング×AI）,50,in_cabin_fusion,95.5,False
2022-03-01,INキャビンフュージョンR研究（センシング×AI）,77,in_cabin_fusion,92.66666666666667,False
2022-04-01,INキャビンフュージョンR研究（センシング×AI）,85,in_cabin_fusion,94.5,False
2022-05-01,INキャビンフュージョンR研究（センシング×AI）,84,in_cabin_fusion,92.33333333333333,False
2022-06-01,INキャビンフュージョンR研究（センシング×AI）,93,in_cabin_fusion,79.33333333333333,False
2022-07-01,INキャビンフュージョンR研究（センシング×AI）,59,in_cabin_fusion,74.66666666666667,False
2022-08-01,INキャビンフュージョンR研究（センシング×AI）,108,in_cabin_fusion,84.33333333333333,False
2022-09-01,INキャビンフュージョンR研究（センシング×AI）,107,in_cabin_fusion,89.33333333333333,False
2022-10-01,INキャビンフュージョンR研究（センシング×AI）,64,in_cabin_fusion,85.83333333333333,False
2022-11-01,INキャビンフュージョンR研究（センシング×AI）,96,in_cabin_fusion,87.83333333333333,False
2022-12-01,INキャビンフュージョンR研究（センシング×AI）,95,in_cabin_fusion,88.16666666666667,False
2023-01-01,INキャビンフュージョンR研究（センシング×AI）,47,in_cabin_fusion,86.16666666666667,False
2023-02-01,INキャビンフュージョンR研究（センシング×AI）,72,in_cabin_fusion,80.16666666666667,False
2023-03-01,INキャビンフュージョンR研究（センシング×AI）,89,in_cabin_fusion,77.16666666666667,False
2023-04-01,INキャビンフュージョンR研究（センシング×AI）,70,in_cabin_fusion,78.16666666666667,False
2023-05-01,INキャビンフュージョンR研究（センシング×AI）,82,in_cabin_fusion,75.83333333333333,False
2023-06-01,INキャビンフュージョンR研究（センシング×AI）,73,in_cabin_fusion,72.16666666666667,False
2023-07-01,INキャビンフュージョンR研究（センシング×AI）,61,in_cabin_fusion,74.5,False
2023-08-01,INキャビンフュージョンR研究（センシング×AI）,61,in_cabin_fusion,72.66666666666667,False
2023-09-01,INキャビンフュージョンR研究（センシング×AI）,51,in_cabin_fusion,66.33333333333333,False
2023-10-01,INキャビンフュージョンR研究（センシング×AI）,50,in_cabin_fusion,63.0,False
2023-11-01,INキャビンフュージョンR研究（センシング×AI）,64,in_cabin_fusion,60.0,False
2023-12-01,INキャビンフュージョンR研究（センシング×AI）,79,in_cabin_fusion,61.0,False
2024-01-01,INキャビンフュージョンR研究（センシング×AI）,66,in_cabin_fusion,61.833333333333336,False
2024-02-01,INキャビンフュージョンR研究（センシング×AI）,35,in_cabin_fusion,57.5,False
2024-03-01,INキャビンフュージョンR研究（センシング×AI）,52,in_cabin_fusion,57.666666666666664,False
2024-04-01,INキャビンフュージョンR研究（センシング×AI）,63,in_cabin_fusion,59.833333333333336,False
2024-05-01,INキャビンフュージョンR研究（センシング×AI）,59,in_cabin_fusion,59.0,False
2024-06-01,INキャビンフュージョンR研究（センシング×AI）,52,in_cabin_fusion,54.5,False
2024-07-01,INキャビンフュージョンR研究（センシング×AI）,57,in_cabin_fusion,53.0,False
2024-08-01,INキャビンフュージョンR研究（センシング×AI）,37,in_cabin_fusion,53.333333333333336,False
2024-09-01,INキャビンフュージョンR研究（センシング×AI）,31,in_cabin_fusion,49.833333333333336,False
2024-10-01,INキャビンフュージョンR研究（センシング×AI）,26,in_cabin_fusion,43.666666666666664,False
2024-11-01,INキャビンフュージョンR研究（センシング×AI）,16,in_cabin_fusion,36.5,False
2024-12-01,INキャビンフュージョンR研究（センシング×AI）,8,in_cabin_fusion,29.166666666666668,False
2015-01-01,UX顧客分析モデル（AI による UI/UX 最適化）,223,ux,223.0,False
2015-02-01,UX顧客分析モデル（AI による UI/UX 最適化）,178,ux,200.5,False
2015-03-01,UX顧客分析モデル（AI による UI/UX 最適化）,283,ux,228.0,False
2015-04-01,UX顧客分析モデル（AI による UI/UX 最適化）,301,ux,246.25,False
2015-05-01,UX顧客分析モデル（AI による UI/UX 最適化）,322,ux,261.4,False
2015-06-01,UX顧客分析モデル（AI による UI/UX 最適化）,424,ux,288.5,False
2015-07-01,UX顧客分析モデル（AI による UI/UX 最適化）,386,ux,315.6666666666667,False
2015-08-01,UX顧客分析モデル（AI による UI/UX 最適化）,433,ux,358.1666666666667,False
2015-09-01,UX顧客分析モデル（AI による UI/UX 最適化）,414,ux,380.0,False
2015-10-01,UX顧客分析モデル（AI による UI/UX 最適化）,338,ux,386.1666666666667,False
2015-11-01,UX顧客分析モデル（AI による UI/UX 最適化）,442,ux,406.1666666666667,False
2015-12-01,UX顧客分析モデル（AI による UI/UX 最適化）,763,ux,462.6666666666667,False
2016-01-01,UX顧客分析モデル（AI による UI/UX 最適化）,362,ux,458.6666666666667,False
